questionId,text,explainer,definition,options,section,sectionDescription,discussionPrompt,id,created_date,updated_date,created_by_id,created_by,is_sample
"anal-sex","How do you feel about anal sex in marriage?","This is definitely not something all couples try, and it's completely fine to say no. Even asking about it helps you practice communicating boundaries.","Anal sex means when the man's penis enters the woman's anus (bottom). This requires extra care, communication, and preparation to be safe and comfortable.","[""Interested in trying this"",""Curious but want to learn about it safely first"",""This doesn't appeal to me and I want to be able to say no"",""I have concerns about whether this fits our values""]","Sexual Activities & Comfort Levels","It's totally normal if you don't know what some of these activities are - that's exactly why we're asking! Click 'What is this?' if you want a simple explanation before answering.","{""question_text"":""This topic requires clear boundaries. How can you ensure you both feel 100% respected and heard, especially if one of you wants to say no?"",""tip_text"":""The most important part of this conversation is practicing how to set and respect boundaries. A 'no' on this topic (or any sexual activity) must always be fully respected without pressure or guilt.""}","6886c582a7e742181744360e","2025-07-28T00:34:10.426000","2025-07-28T00:34:10.426000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"sexual-positions","How do you feel about having sex in different positions?","There are many ways to have sex beyond the basic position. Some couples love exploring variety, others prefer keeping things simple.","This means trying sexual positions other than the basic missionary position (man on top, woman on bottom). There are many different ways couples can position themselves during sex.","[""Very interested in exploring different positions"",""Like to try some when we're ready"",""Prefer to get comfortable with basics first"",""Like the idea of keeping things simple""]","Sexual Activities & Comfort Levels","It's totally normal if you don't know what some of these activities are - that's exactly why we're asking! Click 'What is this?' if you want a simple explanation before answering.","{""question_text"":""What's more important to each of you right now: comfort and simplicity, or variety and exploration?"",""tip_text"":""There's no right or wrong answer here. Aligning on your approach helps manage expectations. You can always start simple and explore more variety over time as you both feel comfortable.""}","6886c582a7e742181744360f","2025-07-28T00:34:10.426000","2025-07-28T00:34:10.426000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"talking-during-sex","How do you feel about talking during sex?","Some people are naturally more vocal during sex, others are quieter. Both are normal, but it helps to know what feels natural to you.","This means verbally communicating during sex - saying what feels good, asking for what you want, or expressing pleasure. Some people are quiet during sex, others are more vocal.","[""Want us to talk openly about what feels good"",""Some talking sounds good but I might be naturally quieter"",""More comfortable with non-verbal communication"",""Prefer to focus on the physical connection without much talking""]","Sexual Activities & Comfort Levels","It's totally normal if you don't know what some of these activities are - that's exactly why we're asking! Click 'What is this?' if you want a simple explanation before answering.","{""question_text"":""How can you learn each other's 'language' of pleasure, whether it's verbal or non-verbal?"",""tip_text"":""Discuss what feels natural for each of you. Agreeing that it's safe to be either quiet or vocal removes pressure. You can learn to read non-verbal cues (like breathing or touch) just as well as verbal ones.""}","6886c582a7e7421817443610","2025-07-28T00:34:10.426000","2025-07-28T00:34:10.426000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"orgasm-expectations","What are your expectations about reaching orgasm?","Many people have unrealistic expectations about orgasms - how often they should happen, how easy they should be, or whether they're required for good sex.","","[""I expect to reach orgasm most times we have sex"",""I hope to reach orgasm regularly but know it may take practice"",""I'm not sure if I'll be able to reach orgasm easily"",""Reaching orgasm isn't a priority for me"",""I don't really know what to expect about my own sexual response""]","Orgasm, Pleasure & Sexual Performance","Let's talk about expectations around sexual pleasure and performance.","{""question_text"":""How can you both define 'good sex' in a way that doesn't solely depend on orgasms?"",""tip_text"":""Focusing on connection, pleasure, and mutual giving can relieve pressure. Discussing what makes you feel close and loved during intimacy, aside from climax, builds a healthier foundation.""}","6886c6ee436a460ba4f72cf4","2025-07-28T00:40:14.055000","2025-07-28T00:40:14.055000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"orgasm-patience","How do you feel about the possibility that reaching orgasm might take practice and patience?","For many people, especially women, learning to climax takes time and patience. There's nothing wrong with needing to figure this out together.","","[""Completely fine - I expect a learning curve"",""Somewhat concerned but willing to be patient"",""Worried this might be frustrating for my partner"",""Concerned this means something is wrong with me"",""Very anxious about sexual performance in general""]","Orgasm, Pleasure & Sexual Performance","Let's talk about expectations around sexual pleasure and performance.","{""question_text"":""What reassurances can you give each other that this is a journey you are on together, without pressure or blame?"",""tip_text"":""Verbally agree that patience is a gift you give each other. Frame this as a shared adventure of discovery, not a problem to be solved. This removes fear and creates a safe space to learn.""}","6886c6ee436a460ba4f72cf5","2025-07-28T00:40:14.055000","2025-07-28T00:40:14.055000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"orgasm-differences","What if your partner reaches orgasm much more quickly/easily than you do?","It's really common for partners to have different orgasm patterns - this doesn't mean anything is wrong with either of you.","","[""This would be completely normal and fine"",""I'd want to work together to figure out what I need"",""I'd be somewhat disappointed but understanding"",""I'd worry that I'm not normal or that something is wrong"",""I'd feel pressure to fake orgasms to avoid disappointing my partner""]","Orgasm, Pleasure & Sexual Performance","Let's talk about expectations around sexual pleasure and performance.","{""question_text"":""How can you ensure that intimacy remains mutually satisfying even if your orgasm timing is different?"",""tip_text"":""This is a great chance to talk about different kinds of pleasure. Intimacy doesn't have to end when one person climaxes. Discuss how you can continue to pleasure each other and focus on overall connection.""}","6886c6ee436a460ba4f72cf6","2025-07-28T00:40:14.055000","2025-07-28T00:40:14.055000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"partner-orgasm","How important is it that you're able to help your partner reach orgasm?","Wanting to please your partner sexually is natural and loving, but it's worth examining your expectations about this responsibility.","","[""Extremely important - I want to learn exactly what they need"",""Very important - I want to be a generous lover"",""Somewhat important but I know it takes time to learn"",""Not very important - I assume they'll figure out their own needs"",""I'm not sure this should be my responsibility""]","Orgasm, Pleasure & Sexual Performance","Let's talk about expectations around sexual pleasure and performance.","{""question_text"":""How can you share the 'responsibility' for pleasure, so it feels like a team effort rather than one person's performance?"",""tip_text"":""Pleasure is a shared experience, not a task for one person to perform. Discuss this as a mutual goal you work on together, where both partners are responsible for communicating their needs and learning about the other.""}","6886c6ee436a460ba4f72cf7","2025-07-28T00:40:14.055000","2025-07-28T00:40:14.055000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"masturbation","What are your thoughts about masturbation within marriage?","Christians have different views on this topic. Some see it as normal and healthy, others have concerns about it in marriage.","","[""Completely fine for both partners as needed"",""Okay occasionally but prefer sex together"",""Acceptable only if discussed with partner first"",""Uncomfortable with the idea in marriage"",""Believe this isn't appropriate for married Christians""]","Orgasm, Pleasure & Sexual Performance","Let's talk about expectations around sexual pleasure and performance.","{""question_text"":""What shared agreement can you come to about masturbation that honors both of your convictions and maintains intimacy and trust?"",""tip_text"":""This topic requires honesty about your personal views and where they come from. The goal is to establish a clear, mutually agreed-upon boundary that protects your connection and prevents secrets.""}","6886c6ee436a460ba4f72cf8","2025-07-28T00:40:14.055000","2025-07-28T00:40:14.055000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"body-comfort-self","How comfortable are you with your partner seeing your naked body?","Being seen naked by your spouse can feel vulnerable, especially if you're not used to it. Your comfort level with this may change over time.","","[""Very comfortable - I want them to see and appreciate my body"",""Mostly comfortable but nervous about certain areas"",""Somewhat uncomfortable but willing to work on it"",""Very uncomfortable with full nudity"",""I plan to avoid nudity during sex if possible""]","Bodies, Nudity & Physical Intimacy","Let's explore comfort levels with physical intimacy and body image.","{""question_text"":""What specific things make you feel insecure about your body, and what affirmations from your partner would help you feel more confident?"",""tip_text"":""Share your specific insecurities. For the listener, your role is not to 'fix' them, but to offer grace, acceptance, and verbal affirmation. Agreeing to be a safe place for each other's vulnerabilities is a powerful act of love.""}","6886c78c8a8aeb79bef6b3bc","2025-07-28T00:42:52.836000","2025-07-28T00:42:52.836000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"body-comfort-partner","How comfortable are you with seeing your partner's naked body?","You might feel excited, nervous, or uncertain about seeing your partner naked. All of these feelings are completely normal.","","[""Very excited to see and appreciate their body"",""Comfortable and interested"",""Somewhat nervous but looking forward to it"",""Uncertain how I'll feel when it actually happens"",""Worried I might feel uncomfortable or awkward""]","Bodies, Nudity & Physical Intimacy","Let's explore comfort levels with physical intimacy and body image.","{""question_text"":""How can you commit to making your partner feel cherished and desired, regardless of your own initial comfort level or nervousness?"",""tip_text"":""Your words and actions have the power to build your partner's confidence. Discuss practical ways you can show admiration and appreciation for their body, creating an environment of acceptance.""}","6886c78c8a8aeb79bef6b3bd","2025-07-28T00:42:52.836000","2025-07-28T00:42:52.836000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"body-hair","What are your expectations about body hair and grooming for sexual intimacy?","Different people have different preferences about body hair and grooming. It's worth discussing what feels comfortable for both of you.","","[""Natural body hair is fine and normal"",""Some trimming/grooming but nothing extreme"",""Prefer significant grooming and hair removal"",""Expect completely hairless genitals"",""Haven't really thought about this""]","Bodies, Nudity & Physical Intimacy","Let's explore comfort levels with physical intimacy and body image.","{""question_text"":""How can you find a compromise on grooming that makes you both feel comfortable and desired, without creating pressure or shame?"",""tip_text"":""This isn't about one person dictating terms. It's about finding a middle ground. Discuss what feels good and manageable for both of you, respecting each other's preferences and comfort levels.""}","6886c78c8a8aeb79bef6b3be","2025-07-28T00:42:52.836000","2025-07-28T00:42:52.836000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"menstruation","How do you feel about menstruation affecting your sex life?","A woman's monthly cycle affects many things, including sexual desire and when you might want to have sex. Couples handle this differently.","This is about how a woman's monthly menstrual cycle (period) might affect when and how you have sex. Some couples are comfortable having sex during menstruation, while others prefer to wait. There's no right or wrong choice - it's about what feels comfortable for both of you. This is also about understanding that a woman's desire for sex can change throughout her cycle due to hormones.","[""No problem having sex during menstruation"",""Willing to have sex during lighter days"",""Prefer to avoid sex during menstruation"",""Definitely no sex during menstruation"",""I haven't really considered how this will affect our sex life""]","Bodies, Nudity & Physical Intimacy","Let's explore comfort levels with physical intimacy and body image.","{""question_text"":""What is your shared plan for intimacy during menstruation, and how can you continue to connect physically and emotionally during that time?"",""tip_text"":""Decide on a clear, mutual boundary that you both feel good about. If you choose to abstain from intercourse, discuss other ways to be intimate and affectionate so that connection doesn't stop.""}","6886c78c8a8aeb79bef6b3bf","2025-07-28T00:42:52.836000","2025-07-28T00:42:52.836000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"frequency","How often do you realistically want to have sex in marriage?","People have different natural levels of sexual desire. There's no 'right' frequency - it's about what works for both of you.","","[""Daily or almost daily"",""4-5 times per week"",""2-3 times per week"",""Once a week"",""A few times per month"",""I have no idea what to expect for myself""]","Frequency, Initiation & Sexual Desire","Let's talk about expectations around how often you'll have sex and who initiates.","{""question_text"":""How will you navigate differences in your desired frequency with generosity and open communication, rather than score-keeping?"",""tip_text"":""This is one of the most common areas of disagreement. Approach this as a team. The goal isn't for one person to 'win,' but for both to feel heard, desired, and respected. Talk about finding a rhythm that works for your unique relationship.""}","6886c7cfed7793d9131e59a2","2025-07-28T00:43:59.312000","2025-07-28T00:43:59.312000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"higher-desire-partner","What if your partner wants sex significantly more often than you do?","It's really common for partners to have different levels of sexual desire. How you handle this difference matters a lot for your marriage.","","[""I'd try to meet their needs even if I'm not always interested"",""I'd want to find a compromise that works for both of us"",""I'd expect them to adjust to my lower level of desire"",""I'd feel pressured and probably resentful"",""I'd worry there's something wrong with me""]","Frequency, Initiation & Sexual Desire","Let's talk about expectations around how often you'll have sex and who initiates.","{""question_text"":""If you're the lower-desire partner, how can you show love and desire for your partner in ways that honor both your needs?"",""tip_text"":""This is about showing you care, even when you're not in the mood for sex. It could mean initiating non-sexual touch, offering to talk about it later, or being open to responsive desire (where you become interested as you get started).""}","6886c7cfed7793d9131e59a3","2025-07-28T00:43:59.312000","2025-07-28T00:43:59.312000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"lower-desire-partner","What if your partner wants sex significantly less often than you do?","Being the partner with higher desire can feel frustrating or lead to feeling rejected. Your response to this situation really matters.","","[""I'd be willing to adjust to their comfort level"",""I'd want to understand what affects their desire"",""I'd be disappointed but try to be understanding"",""I'd feel rejected and frustrated"",""I'd worry they don't find me attractive""]","Frequency, Initiation & Sexual Desire","Let's talk about expectations around how often you'll have sex and who initiates.","{""question_text"":""If you're the higher-desire partner, how can you express your needs without making your partner feel pressured or guilty?"",""tip_text"":""Use 'I' statements ('I feel close to you when we're intimate') instead of 'You' statements ('You never want sex'). Focus on connection, not just frequency, and be curious about what makes your partner feel close and desired.""}","6886c7cfed7793d9131e59a4","2025-07-28T00:43:59.312000","2025-07-28T00:43:59.312000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"initiation","How do you want to communicate when you're interested in having sex?","Learning to initiate sex can feel awkward at first. Knowing your natural style helps you communicate this with your partner.","","[""Direct verbal communication (\""I want to have sex\"")"",""Physical touch and obvious signals"",""Subtle hints and romantic gestures"",""Wait for my partner to initiate most of the time"",""I'm not sure how I'll feel about initiating sex""]","Frequency, Initiation & Sexual Desire","Let's talk about expectations around how often you'll have sex and who initiates.","{""question_text"":""What signals can you agree on so that you both feel comfortable and confident initiating sex?"",""tip_text"":""Having different styles is okay! Discuss what each of you is comfortable with. Maybe you agree that a direct question is best, or perhaps a certain kind of touch is your signal. Knowing the 'rules of engagement' removes guesswork and fear of rejection.""}","6886c7cfed7793d9131e59a5","2025-07-28T00:43:59.313000","2025-07-28T00:43:59.313000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"rejection","What if you're not in the mood for sex when your partner initiates?","There will be times when one of you wants sex and the other doesn't. How you handle these moments affects your intimacy long-term.","","[""I'd be open to being persuaded through affection and foreplay"",""I'd explain that I'm not in the mood and suggest another time"",""I'd probably go along with it to meet their needs"",""I'd feel pressured and might become resentful"",""I'd expect my partner to respect my \""no\"" without question""]","Frequency, Initiation & Sexual Desire","Let's talk about expectations around how often you'll have sex and who initiates.","{""question_text"":""How can you say 'no' to sex in a way that feels loving and affirming to your partner, rather than rejecting?"",""tip_text"":""A gentle 'no' is crucial. Discuss ways to turn down an invitation while affirming your partner's attractiveness and your desire for them. Phrases like, 'I'm not feeling it tonight, but can we try tomorrow?' or offering a cuddle instead can make a big difference.""}","6886c7cfed7793d9131e59a6","2025-07-28T00:43:59.313000","2025-07-28T00:43:59.313000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"talking-comfort","How do you feel about talking during sexual intimacy?","Communication during sex helps couples learn what feels good, but some people find it awkward at first.","","[""I want us to communicate openly about what feels good"",""Some talking is fine but I prefer mostly non-verbal"",""I'd be too self-conscious to talk much during sex"",""I think talking would ruin the romance and spontaneity"",""I'm not sure how I'll feel about this in the moment""]","Communication During Sex","Let's explore how you'll communicate during intimate moments.","{""question_text"":""What is one specific phrase you could practice saying to communicate pleasure, and one to communicate discomfort?"",""tip_text"":""Having 'scripts' ready can make it easier to speak up. For pleasure: 'That feels so good.' For discomfort: 'Can we try something different?' Practice saying them out loud to each other (outside the bedroom) to reduce awkwardness.""}","6886cfd1f0376651c284264b","2025-07-28T01:18:09.350000","2025-07-28T01:18:09.350000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"discomfort-communication","What if something your partner does doesn't feel good or is uncomfortable?","Being able to communicate when something doesn't feel good is crucial for enjoyable sex, but it can feel hard to speak up in the moment.","","[""I'd tell them immediately and guide them to what feels better"",""I'd gently redirect them physically without saying anything"",""I'd endure it to avoid hurting their feelings"",""I'd wait until afterward to discuss it"",""I'd be too embarrassed to say anything""]","Communication During Sex","Let's explore how you'll communicate during intimate moments.","{""question_text"":""How can you create a 'safe word' or signal that means 'let's pause' without anyone feeling rejected or criticized?"",""tip_text"":""Agreeing on a simple, neutral word (like 'pause' or 'timeout') gives you both an easy way to stop what's happening without blame. It's a tool that builds safety and trust, ensuring you're both always comfortable.""}","6886cfd1f0376651c284264c","2025-07-28T01:18:09.350000","2025-07-28T01:18:09.350000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"pleasure-communication","How do you want your partner to tell you what they enjoy sexually?","Learning what your partner enjoys takes communication. Different people prefer different ways of receiving this feedback.","","[""Direct verbal feedback during sex (\""that feels amazing\"")"",""Physical guidance with their hands"",""Discussions outside the bedroom about preferences"",""I want to figure out what they like through trial and error"",""I assume I'll naturally know what feels good for them""]","Communication During Sex","Let's explore how you'll communicate during intimate moments.","{""question_text"":""Can you each share one way you'd prefer to receive feedback about what you're doing right?"",""tip_text"":""People respond differently to feedback. One might love hearing verbal praise, while another prefers to feel their partner's body respond positively. Knowing how your partner best receives encouragement helps you serve them well.""}","6886cfd1f0376651c284264d","2025-07-28T01:18:09.350000","2025-07-28T01:18:09.350000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"new-activities","What if you want to try something new sexually?","As you grow in your sexual relationship, you might become curious about trying new things. How you bring this up matters.","","[""I'd bring it up directly and ask if they're interested"",""I'd suggest it during foreplay or sex"",""I'd hint about it and see if they pick up on it"",""I'd be too shy to bring up new ideas"",""I'd rather stick with basics than risk making them uncomfortable""]","Communication During Sex","Let's explore how you'll communicate during intimate moments.","{""question_text"":""How can you establish a regular, low-pressure time to talk about your sex life, including new ideas or things you'd like to try?"",""tip_text"":""Bringing up new ideas in the moment can feel high-stakes. Consider a monthly 'check-in' (over coffee, not in bed) where you can safely talk about what's working, what's not, and what you might be curious about trying together.""}","6886cfd1f0376651c284264e","2025-07-28T01:18:09.350000","2025-07-28T01:18:09.350000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"pain-response","What if you experience pain during penetration that doesn't improve quickly?","Sexual pain is more common than people think and is definitely something that can be addressed. Your approach to handling it matters.","","[""See a doctor immediately while being patient with each other"",""Try different positions and more lubrication first"",""Keep trying and assume it will get better with time"",""Avoid penetration until it can happen without pain"",""I'd be too embarrassed to seek help""]","Sexual Problems & Challenges","Let's discuss how you might handle potential challenges in your sexual relationship.","{""question_text"":""How can you agree *now* that if pain is a persistent issue, you will address it as a team, without shame or blame, and seek professional help?"",""tip_text"":""Making a pre-commitment removes the stigma if the situation arises. Pain is a signal from the body that something needs attention, not a sign of failure. Agreeing to tackle it together, with medical support, is a sign of a healthy, mature relationship.""}","6886cfd1f0376651c284264f","2025-07-28T01:18:09.350000","2025-07-28T01:18:09.350000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
"orgasm-difficulty","What if one of you has difficulty reaching orgasm?","Difficulty with orgasm is really common, especially for women and especially at first. How you approach this together makes all the difference.","","[""Work together patiently to figure out what helps"",""Seek resources and possibly professional help"",""Focus on other aspects of intimacy while learning"",""Try harder and practice more frequently"",""Accept that some people just don't climax easily""]","Sexual Problems & Challenges","Let's discuss how you might handle potential challenges in your sexual relationship.","{""question_text"":""How can you shift the focus from 'achieving orgasm' to 'exploring pleasure' to reduce pressure and make intimacy more enjoyable?"",""tip_text"":""When orgasm becomes the only goal, sex can feel like work. Redefine success as connection, mutual pleasure, and fun. This freedom often makes it easier for orgasms to happen naturally over time.""}","6886cfd1f0376651c2842650","2025-07-28T01:18:09.350000","2025-07-28T01:18:09.350000","687d88c1e92df03a62dd3890","matthew.higham1@gmail.com",""
